epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57365,1.81183,4.15451,2.06616,0.00333,1,0.07293,0.02618,1.6014,4.1943,1.72909,0.00014,0.00014,0.00014
2,7.96796,1.30615,3.17442,1.49852,0.00333,1,0.81999,0.48507,1.39657,3.83888,1.47792,0.00029505,0.00029505,0.00029505
3,11.1531,1.11907,2.29407,1.31385,0.00333,1,0.68172,0.3667,1.63057,4.19455,1.71871,0.00044482,0.00044482,0.00044482
4,13.5853,1.1161,2.33715,1.29045,0.00333,1,0.21044,0.11462,1.53581,4.3947,1.88606,0.00058931,0.00058931,0.00058931
5,15.842,1.08657,2.21701,1.2885,0.00333,1,0.38904,0.25733,1.09608,4.05444,1.58715,0.00072852,0.00072852,0.00072852
6,18.3123,1.07062,2.09442,1.25955,0.93105,0.51515,0.81746,0.50526,1.43496,4.36353,2.0955,0.00086245,0.00086245,0.00086245
7,20.512,1.13369,2.0639,1.25493,0.75919,0.86,0.83745,0.56174,1.32993,3.40651,1.42857,0.0009911,0.0009911,0.0009911
8,23.4348,1.07147,1.84156,1.22982,0.92435,0.72727,0.89229,0.64947,0.95566,3.13498,1.19823,0.00111447,0.00111447,0.00111447
9,26.1702,1.01634,1.73114,1.22771,0.87236,0.54545,0.75252,0.43717,1.45564,3.78958,1.48665,0.00123256,0.00123256,0.00123256
10,28.4339,0.95828,1.71393,1.21905,0.81575,0.57576,0.72226,0.441,1.34604,3.2992,1.48485,0.00134537,0.00134537,0.00134537
11,30.8217,0.94943,1.73863,1.22314,0.81502,0.75758,0.83962,0.60885,1.39477,3.2418,1.54179,0.0014529,0.0014529,0.0014529
12,33.0321,0.86094,1.49846,1.14905,0.70083,0.85192,0.84064,0.61673,1.13016,2.94855,1.24365,0.00155515,0.00155515,0.00155515
13,35.7785,0.90538,1.62913,1.14914,0.88554,0.93778,0.91959,0.69551,1.0993,2.52624,1.28376,0.001604,0.001604,0.001604
14,38.6222,0.94545,1.50561,1.21125,0.93196,0.87879,0.92847,0.70811,1.10731,2.54978,1.24624,0.001571,0.001571,0.001571
15,40.9765,0.838,1.25375,1.10344,0.88319,0.91666,0.95324,0.69501,0.84718,2.16748,1.12711,0.001538,0.001538,0.001538
16,43.1806,0.82562,1.16727,1.09807,0.9133,0.95791,0.96186,0.7068,0.75037,2.36865,1.03501,0.001505,0.001505,0.001505
17,45.3396,0.88303,1.33768,1.11622,0.87533,0.9697,0.96297,0.67479,1.29006,2.41555,1.59103,0.001472,0.001472,0.001472
18,47.6907,0.8501,1.20227,1.12687,0.90501,0.86641,0.93904,0.74347,1.1249,2.07157,1.42192,0.001439,0.001439,0.001439
19,50.7571,0.85419,1.16693,1.15843,0.62885,0.82157,0.73445,0.51516,1.05548,3.94565,1.32554,0.001406,0.001406,0.001406
20,53.1176,0.86316,1.17887,1.16075,0.6107,0.84848,0.7821,0.5869,1.30922,2.14787,1.40832,0.001373,0.001373,0.001373
21,55.1721,0.8414,1.22288,1.08989,0.94488,1,0.99235,0.82535,0.74304,1.51986,1.09942,0.00134,0.00134,0.00134
22,57.6624,0.79666,1.12792,1.09355,0.96961,0.96704,0.99068,0.84296,0.70605,1.83103,1.18241,0.001307,0.001307,0.001307
23,59.8701,0.76436,1.07493,1.07764,0.9284,0.93939,0.97868,0.81346,0.887,1.62861,1.20181,0.001274,0.001274,0.001274
24,63.0775,0.71096,0.97489,1.01849,0.96834,0.92694,0.95502,0.73503,1.026,2.76973,1.27227,0.001241,0.001241,0.001241
25,65.554,0.69461,0.92403,1.04407,0.96763,0.90603,0.95248,0.7601,1.05018,1.80427,1.30265,0.001208,0.001208,0.001208
26,67.7689,0.79867,0.97926,1.07364,0.89417,0.84848,0.89522,0.73577,0.85342,1.68556,1.13585,0.001175,0.001175,0.001175
27,70.0605,0.74636,0.96485,1.04125,0.98426,0.81818,0.93268,0.75959,0.75031,1.73526,1.10442,0.001142,0.001142,0.001142
28,72.2358,0.76474,0.92867,1.09649,0.9137,0.9627,0.94854,0.8169,0.80547,1.72565,1.13792,0.001109,0.001109,0.001109
29,75.1106,0.73584,0.92898,1.07268,0.91273,0.95096,0.9478,0.83009,0.61613,1.61132,1.02459,0.001076,0.001076,0.001076
30,77.7466,0.72125,0.89085,1.06025,0.96353,0.9697,0.98886,0.81655,0.50899,1.04206,0.96482,0.001043,0.001043,0.001043
31,80.0289,0.72659,0.9553,1.05514,0.96546,0.9697,0.9851,0.80996,0.49352,0.98011,0.97583,0.00101,0.00101,0.00101
32,82.2743,0.68642,0.8525,1.03097,0.93338,0.9697,0.96964,0.79672,0.58786,0.86099,1.01013,0.000977,0.000977,0.000977
33,84.3251,0.69244,0.853,1.03241,0.9662,1,0.99147,0.84572,0.60466,0.83206,0.99651,0.000944,0.000944,0.000944
34,87.1683,0.69245,0.83307,1.03419,0.96801,1,0.99412,0.85017,0.49829,1.02448,0.95385,0.000911,0.000911,0.000911
35,90.0145,0.6021,0.82666,1.00396,0.99237,0.93939,0.98824,0.83045,0.52077,1.32078,0.95208,0.000878,0.000878,0.000878
36,92.2641,0.68399,0.81301,0.98804,0.96601,0.9697,0.99068,0.86405,0.47415,1.02108,0.92098,0.000845,0.000845,0.000845
37,94.5702,0.67008,0.82313,1.00168,0.99635,0.9697,0.99329,0.88348,0.48762,0.89715,0.92917,0.000812,0.000812,0.000812
38,96.8287,0.63706,0.75195,1.01488,0.99578,0.9697,0.99329,0.8865,0.50962,0.76992,0.9357,0.000779,0.000779,0.000779
39,99.2816,0.59131,0.73445,0.97431,1,0.96431,0.99412,0.87786,0.58201,0.85083,0.96151,0.000746,0.000746,0.000746
40,102.262,0.57053,0.74823,0.94219,0.99597,0.9697,0.99412,0.87012,0.74032,0.91367,1.0486,0.000713,0.000713,0.000713
41,104.752,0.69906,0.80508,1.02992,0.99853,1,0.995,0.87424,0.72765,0.83181,1.04423,0.00068,0.00068,0.00068
42,106.99,0.58242,0.6957,0.97962,0.99695,1,0.995,0.86759,0.61304,0.77507,0.97905,0.000647,0.000647,0.000647
43,109.356,0.59759,0.70452,0.9636,0.99849,1,0.995,0.88855,0.57283,0.88535,0.97296,0.000614,0.000614,0.000614
44,111.592,0.59946,0.72981,0.99094,1,0.99941,0.995,0.87199,0.80943,1.1565,1.09066,0.000581,0.000581,0.000581
45,114.811,0.61467,0.65111,0.97776,0.99804,0.9697,0.99329,0.87931,0.94125,1.41741,1.22007,0.000548,0.000548,0.000548
46,117.169,0.55293,0.71409,0.97347,0.9972,0.9697,0.99329,0.87201,1.07879,1.355,1.30101,0.000515,0.000515,0.000515
47,119.399,0.61376,0.74104,1.0112,1,0.98854,0.995,0.88432,1.02492,1.11854,1.2201,0.000482,0.000482,0.000482
48,121.679,0.59793,0.73202,0.97524,1,0.99627,0.995,0.8831,0.8202,0.76674,1.06391,0.000449,0.000449,0.000449
49,123.936,0.55384,0.63547,0.96126,1,0.99791,0.995,0.8878,0.7255,0.69656,0.99597,0.000416,0.000416,0.000416
50,127.008,0.54545,0.66261,0.95563,1,0.99784,0.995,0.8991,0.69917,0.69342,0.96517,0.000383,0.000383,0.000383
51,131.051,0.50615,0.73165,0.93419,0.99814,0.9697,0.99329,0.89925,0.92732,0.89796,1.05942,0.00035,0.00035,0.00035
52,133.737,0.56355,0.84236,1.02792,0.99814,0.9697,0.98975,0.88088,1.05177,1.00507,1.14148,0.000317,0.000317,0.000317
53,135.887,0.48185,0.67797,0.92102,0.99644,0.9697,0.98915,0.88163,0.83144,0.92298,1.02959,0.000284,0.000284,0.000284
54,138.294,0.46549,0.64245,0.95687,0.99721,0.9697,0.99176,0.89725,0.62231,0.70726,0.94368,0.000251,0.000251,0.000251
55,141.263,0.49458,0.61324,0.97778,0.99742,0.9697,0.99329,0.912,0.5813,0.63328,0.92997,0.000218,0.000218,0.000218
56,143.432,0.44417,0.5994,0.92356,0.99765,0.9697,0.99412,0.9033,0.64338,0.64731,0.96227,0.000185,0.000185,0.000185
57,145.516,0.46729,0.60143,0.91689,1,0.99736,0.995,0.89288,0.67523,0.6675,0.98148,0.000152,0.000152,0.000152
58,147.579,0.47222,0.58192,0.95815,0.99758,0.9697,0.99412,0.89066,0.67872,0.65868,0.98812,0.000119,0.000119,0.000119
59,149.618,0.48314,0.58914,0.9149,0.99731,0.9697,0.99412,0.88565,0.72565,0.7159,1.00708,8.6e-05,8.6e-05,8.6e-05
60,152.342,0.40178,0.54191,0.86511,0.99706,0.9697,0.99412,0.89126,0.765,0.74758,1.0257,5.3e-05,5.3e-05,5.3e-05
